94,25,48,87,88,54,64,90,47
68,15,11,41,90,19,14,62,11
53,63,18,69,95,10,43,56,55
17,25,13,13,18,50,55,65,93
32,31,68,85,14,17,32,53,39
38,77,35,85,61,50,96,36,45
91,73,11,37,68,55,74,88,51
50,44,11,95,76,77,67,92,70
70,14,24,96,53,40,49,81,23
57,93,76,81,16,81,66,28,80
54,59,56,46,68,18,14,40,12
56,28,76,27,47,13,69,32,60
16,15,75,18,57,39,36,95,76
40,55,25,49,86,46,45,71,69
55,11,10,24,21,76,87,40,19
44,54,29,82,77,66,75,96,55
81,40,78,11,98,17,36,76,60
54,60,26,39,33,21,27,21,28
93,20,19,57,65,17,23,62,31
38,86,25,59,85,24,80,57,13
53,13,87,27,65,34,35,33,67
97,94,80,48,90,44,47,93,70
66,50,62,51,40,98,52,97,13
88,55,92,94,60,62,44,35,35
23,70,35,77,37,19,93,44,23
38,71,42,82,78,48,21,49,74
20,25,48,36,34,41,62,50,53
47,61,87,93,69,81,28,29,47
33,44,92,34,23,64,19,48,69
44,84,17,54,46,86,20,83,87
17,34,76,30,90,17,80,75,69
75,18,39,51,66,60,70,78,46
42,10,79,12,53,91,73,39,35
27,36,40,83,21,12,31,78,37
49,15,78,39,73,25,15,11,91
86,80,66,34,38,68,70,52,43
35,25,75,47,20,75,49,95,79
38,73,88,50,51,24,34,52,42
75,36,86,92,78,27,15,47,62
11,20,64,98,34,55,65,78,88
64,55,34,65,70,77,28,26,34
86,70,61,94,25,60,88,19,40
91,39,76,42,28,51,82,36,54
45,83,38,55,64,31,86,51,29
65,33,84,80,43,69,29,90,23
98,47,68,32,82,96,73,72,46
88,86,51,25,73,92,17,84,90
72,36,42,62,77,88,22,47,92
36,26,91,55,77,56,92,50,63
78,52,51,29,14,35,69,15,38
66,11,19,95,72,68,97,20,81
82,28,65,48,21,21,73,61,35
46,43,63,21,32,79,76,35,80
77,22,70,15,23,58,13,74,55
79,85,60,40,79,71,29,74,43
18,40,13,97,87,81,74,16,81
43,58,98,22,39,66,86,74,72
39,25,13,80,45,14,64,66,27
89,63,12,71,97,21,23,70,19
15,86,16,59,76,53,66,76,51
