64,70,88,67,78,70,52,51,47
91,64,30,88,84,60,28,30,61
67,71,32,46,19,56,37,59,29
86,91,48,78,28,28,72,93,23
96,27,79,54,63,83,33,39,58
17,66,80,47,63,33,14,41,19
54,38,47,58,29,94,35,47,36
55,28,23,66,66,31,94,42,94
88,33,95,14,82,46,24,13,79
14,83,49,49,17,27,45,82,32
25,38,44,72,70,10,32,62,58
44,21,44,57,15,47,86,79,60
78,22,26,49,80,60,67,12,42
31,52,97,82,44,49,87,22,66
38,97,79,65,26,92,29,16,43
45,38,62,26,48,59,51,68,36
61,39,61,62,28,73,13,78,77
32,54,57,26,49,70,24,72,92
63,62,97,72,35,17,37,10,19
82,42,56,92,21,79,90,27,38
92,86,41,88,58,41,19,55,20
66,11,67,23,35,93,68,17,58
55,10,65,69,70,71,47,54,16
32,31,56,50,24,49,71,54,31
83,94,35,84,74,27,14,62,93
85,61,28,72,22,88,77,57,52
16,24,79,54,25,17,49,71,27
95,83,73,52,30,76,10,11,70
90,35,61,77,44,18,60,90,45
44,14,24,56,68,79,94,19,14
68,32,57,58,53,14,11,20,74
87,78,60,42,61,65,68,52,48
72,49,41,81,12,34,37,27,29
60,29,56,61,54,78,78,65,27
26,80,11,11,52,13,58,11,71
23,38,23,96,66,22,94,90,89
30,35,62,67,11,39,44,82,29
44,25,59,25,85,11,20,30,89
77,65,13,55,92,56,23,74,61
69,48,76,49,35,43,19,55,17
35,50,22,63,98,88,74,88,88
76,11,11,16,24,80,57,78,86
62,27,80,11,70,81,59,23,35
15,56,13,52,77,87,20,81,83
10,40,36,16,45,81,47,85,58
85,30,36,52,68,74,81,69,94
88,23,91,58,28,85,43,87,24
97,42,47,24,85,51,43,90,49
70,60,37,43,46,97,37,84,36
78,33,10,88,96,65,90,64,92
86,12,37,58,23,91,14,70,12
79,56,47,80,35,87,10,44,68
49,44,65,51,57,27,55,66,98
47,14,89,10,44,47,49,62,18
42,50,25,93,39,77,72,46,52
17,25,80,90,69,87,15,41,21
92,71,84,83,35,50,46,81,82
52,16,41,26,50,26,37,48,30
73,44,58,42,96,29,61,52,19
93,56,18,74,87,15,23,24,83
