73,21,16,53,19,74,95,38,96
98,93,76,83,12,85,64,54,97
69,24,34,23,54,14,81,11,70
96,15,69,31,37,25,31,82,35
76,47,26,29,97,61,87,45,66
33,61,22,94,94,81,25,66,65
59,17,65,15,60,64,17,21,62
77,16,61,48,76,40,24,50,48
84,53,24,62,51,31,95,64,37
14,79,15,62,97,80,72,43,47
79,20,91,82,25,28,78,72,82
77,26,51,23,89,63,50,52,62
92,63,51,13,36,30,61,25,49
84,60,82,56,81,31,94,34,76
19,44,70,71,23,29,91,79,85
45,83,84,96,93,77,90,27,94
32,25,76,88,83,75,20,10,64
78,59,10,12,76,49,95,13,39
10,47,48,65,29,46,57,52,27
25,46,77,37,66,31,79,58,14
75,40,12,72,83,42,54,71,31
59,85,53,36,34,47,69,41,12
27,10,30,54,85,15,38,31,30
50,93,26,16,82,72,28,37,94
40,49,36,67,64,21,83,10,26
90,28,48,40,21,74,65,39,25
88,64,72,15,64,90,81,38,41
45,58,27,96,55,24,83,13,50
51,92,51,78,93,73,54,27,48
86,59,85,56,67,40,81,45,71
