47,74,15,76,94,77,76,58,58
54,12,92,44,91,77,57,96,31
97,18,78,40,91,25,41,35,88
38,77,15,86,68,88,79,14,62
18,15,40,66,10,23,90,56,95
25,71,78,29,21,57,74,34,78
90,73,82,66,39,73,47,83,73
60,15,77,53,58,85,78,24,76
96,56,74,23,73,91,86,67,69
51,79,24,29,10,35,28,51,51
98,33,23,52,32,71,20,15,75
16,65,96,31,32,81,20,86,81
87,98,86,31,16,51,16,56,56
43,41,95,52,65,57,91,40,61
64,34,72,23,15,57,84,19,52
46,83,23,67,72,32,57,81,55
76,91,47,61,88,31,13,62,85
87,10,21,32,62,42,68,37,30
25,84,39,77,12,73,93,17,90
18,79,19,68,71,11,77,13,84
72,49,75,71,71,68,10,34,88
30,49,36,43,88,63,89,65,31
64,55,34,63,70,43,39,43,94
79,68,47,21,53,29,73,50,84
40,19,24,96,49,49,72,67,61
71,80,28,21,46,32,47,79,43
91,26,14,50,29,68,22,65,58
84,46,80,91,30,88,64,46,64
81,75,52,29,53,25,29,70,17
87,51,94,28,53,65,11,84,10
